,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation,date
0,45.3,35.1,69.8,18.5,30.0,1.11,2021-04-01
1,38.4,14.3,38.8,17.8,30.3,0.0,2021-04-02
2,44.7,16.1,33.1,7.7,30.4,0.0,2021-04-03
3,58.4,28.8,35.0,9.5,30.1,0.0,2021-04-04
4,60.8,33.5,38.2,6.0,30.1,0.0,2021-04-05
5,64.2,39.8,43.0,4.0,30.0,0.0,2021-04-06
6,65.9,46.6,51.5,4.6,29.9,0.0,2021-04-07
7,62.5,43.2,50.3,8.7,30.0,0.0,2021-04-08
8,57.4,52.4,83.9,7.5,30.1,0.61,2021-04-09
9,59.6,54.4,84.1,6.4,30.0,0.0,2021-04-10
10,68.1,56.9,70.1,8.8,29.5,0.13,2021-04-11
11,57.5,50.4,77.5,9.7,29.7,0.01,2021-04-12
12,56.2,47.3,73.0,5.9,30.0,0.08,2021-04-13
13,57.2,52.1,83.3,6.4,30.0,0.0,2021-04-14
14,57.2,44.5,66.1,9.7,29.8,0.3,2021-04-15
15,52.0,31.7,46.5,11.9,29.8,0.0,2021-04-16
16,53.2,37.2,55.5,7.1,29.8,0.0,2021-04-17
17,57.1,37.9,50.0,6.8,29.9,0.0,2021-04-18
18,56.0,46.4,71.1,6.2,29.9,0.0,2021-04-19
19,61.4,44.7,59.6,10.8,29.9,0.01,2021-04-20
20,57.1,36.8,47.4,17.8,29.8,0.0,2021-04-21
21,45.0,20.2,38.0,12.0,30.0,0.0,2021-04-22
22,52.6,28.2,41.4,7.8,30.1,0.0,2021-04-23
23,54.2,38.6,58.6,6.2,30.0,0.0,2021-04-24
24,54.9,46.8,76.5,10.4,29.8,0.86,2021-04-25
25,57.1,30.5,38.5,11.5,30.1,0.0,2021-04-26
26,66.0,47.2,52.8,7.6,30.0,0.0,2021-04-27
27,73.8,57.3,57.9,9.4,29.9,0.0,2021-04-28
28,75.6,61.5,62.3,9.8,29.7,0.0,2021-04-29
29,65.5,42.2,45.0,20.8,29.7,0.01,2021-04-30
